year,estimated_yield_kg_per_ha,ndvi.early,ndvi.mid,ndvi.late,organic_carbon,nitrogen_kg_per_ha,phosphorus_kg_per_ha,potassium_kg_per_ha,annual_avg_rainfall_mm,monsoon_rainfall_mm,avg_annual_temp_C,avg_max_temp_C,avg_min_temp_C,avg_relative_humidity_pct,growing_degree_days_GDD,soil_ph,district_Barnala,district_Bathinda,district_Faridkot,district_Fatehgarh Sahib,district_Fazilka,district_Ferozepur,district_Firozpur,district_Gurdaspur,district_Hoshiarpur,district_Jalandhar,district_Kapurthala,district_Ludhiana,district_Malerkotla,district_Mansa,district_Moga,district_Mohali (SAS Nagar),district_Muktsar (Sri Muktsar Sahib),district_Pathankot,district_Patiala,district_Rupnagar (Ropar),district_Sangrur,district_Tarn Taran,season_Rabi,season_Zaid,crop_Cotton,crop_Maize,crop_Moong,crop_Mustard,crop_Paddy,crop_Sunflower,crop_Vegetables,crop_Wheat,monsoon_onset_doy,monsoon_end_doy,soil_type_Clay Loam,soil_type_Loamy,soil_type_Sandy,soil_type_Sandy Loam,soil_type_Silty Loam,predicted_yield_xgb_tuned
2023,2755,0.27,0.47,0.38,0.81,284.0,10.0,238.0,650,488,24.0,32.0,16.0,65,5110,7.300000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,,,False,False,True,False,False,3223.5618
2023,2095,0.23,0.34,0.25,0.81,284.0,10.0,238.0,650,488,24.0,32.0,16.0,65,5110,7.300000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,,False,False,True,False,False,2114.7761
2023,1654,0.32,0.49,0.44,0.81,284.0,10.0,238.0,650,488,24.0,32.0,16.0,65,5110,7.300000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,,,False,False,True,False,False,1773.6237
2023,3737,0.24,0.37,0.29,0.81,284.0,10.0,238.0,650,488,24.0,32.0,16.0,65,5110,7.300000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,False,False,True,False,False,3781.1584
2023,2650,0.29,0.42,0.34,0.81,284.0,10.0,238.0,650,488,24.0,32.0,16.0,65,5110,7.300000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,False,False,True,False,False,2744.9722
2023,2277,0.27,0.42,0.33,0.81,284.0,10.0,238.0,650,488,24.0,32.0,16.0,65,5110,7.300000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,False,False,True,False,False,2438.1323
2023,2036,0.24,0.39,0.31,0.81,284.0,10.0,238.0,650,488,24.0,32.0,16.0,65,5110,7.300000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,,,False,False,True,False,False,2048.6848
2023,1845,0.23,0.34,0.24,0.81,284.0,10.0,238.0,650,488,24.0,32.0,16.0,65,5110,7.300000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,,,False,False,True,False,False,2052.3152
2023,2087,0.39,0.57,0.5,0.81,284.0,10.0,238.0,650,488,24.0,32.0,16.0,65,5110,7.300000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,,,False,False,True,False,False,2118.227
2024,2945,0.29,0.4,0.33,0.81,284.0,10.0,238.0,650,488,24.0,32.0,16.0,65,5110,7.300000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,,,False,False,True,False,False,3106.9812
